,State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
196,Meghalaya,2020,1,Peer-to-peer payments,216022,1013733312.3935763
197,Meghalaya,2020,1,Merchant payments,57245,44125206.34755945
198,Meghalaya,2020,1,Financial Services,473,402779.89033132966
199,Meghalaya,2020,1,Others,2329,2207471.061039081
200,Meghalaya,2019,2,Recharge & bill payments,108812,27248605.429233357
201,Meghalaya,2019,2,Peer-to-peer payments,97407,446537199.17356837
202,Meghalaya,2019,2,Merchant payments,22588,15600927.006629137
203,Meghalaya,2019,2,Financial Services,460,106800.75308155928
204,Meghalaya,2019,2,Others,3019,3437756.744766518
205,Meghalaya,2019,4,Recharge & bill payments,175084,43611775.02621875
206,Meghalaya,2019,4,Peer-to-peer payments,163734,670870023.4297696
207,Meghalaya,2019,4,Merchant payments,24430,25344714.50557894
208,Meghalaya,2019,4,Financial Services,382,124511.63613216748
209,Meghalaya,2019,4,Others,2351,2485447.192519395
210,Meghalaya,2019,3,Recharge & bill payments,155949,38916251.42165714
211,Meghalaya,2019,3,Peer-to-peer payments,116168,546221812.6889315
212,Meghalaya,2019,3,Merchant payments,31201,23461321.889810227
213,Meghalaya,2019,3,Financial Services,421,584192.9488108774
214,Meghalaya,2019,3,Others,2811,3035023.204323471
215,Meghalaya,2019,1,Recharge & bill payments,98817,23006751.795504905
216,Meghalaya,2019,1,Peer-to-peer payments,90694,358932132.1046898
217,Meghalaya,2019,1,Merchant payments,16073,14297275.230527855
218,Meghalaya,2019,1,Financial Services,659,62335.064750311045
219,Meghalaya,2019,1,Others,2498,2738667.957962149
220,Meghalaya,2018,2,Recharge & bill payments,42625,9657896.164724296
221,Meghalaya,2018,2,Peer-to-peer payments,19894,101140464.66239843
222,Meghalaya,2018,2,Merchant payments,2929,3663446.436220131
223,Meghalaya,2018,2,Financial Services,592,580648.3434132106
224,Meghalaya,2018,2,Others,1817,1962212.2350756058
225,Meghalaya,2018,4,Recharge & bill payments,82962,18100891.637344178
226,Meghalaya,2018,4,Peer-to-peer payments,58952,301941442.7059927
227,Meghalaya,2018,4,Merchant payments,15768,14434314.193342488
228,Meghalaya,2018,4,Financial Services,763,190875.18848979956
229,Meghalaya,2018,4,Others,2687,2918155.2795046642
230,Meghalaya,2018,3,Recharge & bill payments,60625,14231601.453371253
231,Meghalaya,2018,3,Peer-to-peer payments,40832,187460582.05754715
232,Meghalaya,2018,3,Merchant payments,5802,5458930.689379572
233,Meghalaya,2018,3,Financial Services,748,552674.5783359876
234,Meghalaya,2018,3,Others,2283,2149872.755760235
235,Meghalaya,2018,1,Recharge & bill payments,31857,6028476.149090356
236,Meghalaya,2018,1,Peer-to-peer payments,13274,55943496.515886314
237,Meghalaya,2018,1,Merchant payments,1605,2395888.4397623385
238,Meghalaya,2018,1,Financial Services,532,144318.2545571151
239,Meghalaya,2018,1,Others,2303,1738080.43060439
240,Rajasthan,2023,2,Merchant payments,592487449,310487787699.0
241,Rajasthan,2023,2,Peer-to-peer payments,389865502,1321457235324.0
242,Rajasthan,2023,2,Recharge & bill payments,90082184,65720609268.0
243,Rajasthan,2023,2,Financial Services,289948,328805088.0
244,Rajasthan,2023,2,Others,734255,461148921.0
245,Rajasthan,2023,4,Merchant payments,766981185,396873110176.0
246,Rajasthan,2023,4,Peer-to-peer payments,484250991,1587157118494.0
247,Rajasthan,2023,4,Recharge & bill payments,97092812,81348244193.0
248,Rajasthan,2023,4,Financial Services,443168,570385125.0
249,Rajasthan,2023,4,Others,703998,430749813.0
250,Rajasthan,2023,3,Merchant payments,704324393,341799936129.0
251,Rajasthan,2023,3,Peer-to-peer payments,438800339,1385976868598.0
252,Rajasthan,2023,3,Recharge & bill payments,93085762,71540658202.0
253,Rajasthan,2023,3,Financial Services,359675,484002475.0
254,Rajasthan,2023,3,Others,661998,423978212.0
255,Rajasthan,2023,1,Merchant payments,484552414,276693132279.0
256,Rajasthan,2023,1,Peer-to-peer payments,353301155,1216864232698.0
257,Rajasthan,2023,1,Recharge & bill payments,82232131,60583110261.0
258,Rajasthan,2023,1,Financial Services,259195,274450998.0
259,Rajasthan,2023,1,Others,751791,498449614.0
260,Rajasthan,2021,2,Peer-to-peer payments,139277445,467784146764.7472
261,Rajasthan,2021,2,Merchant payments,97860493,69922875807.46701
262,Rajasthan,2021,2,Recharge & bill payments,49501703,23387103755.819714
263,Rajasthan,2021,2,Financial Services,216441,186606893.61035594
264,Rajasthan,2021,2,Others,620957,422031947.60023904
265,Rajasthan,2021,4,Merchant payments,221774624,151967969235.0213
266,Rajasthan,2021,4,Peer-to-peer payments,212937264,718215327365.9165
267,Rajasthan,2021,4,Recharge & bill payments,51610607,32831163302.92643
268,Rajasthan,2021,4,Financial Services,265091,263180819.6932125
269,Rajasthan,2021,4,Others,1034011,656777820.7586894
270,Rajasthan,2021,3,Peer-to-peer payments,181742972,575912799217.8965
271,Rajasthan,2021,3,Merchant payments,167819345,105548321875.05884
272,Rajasthan,2021,3,Recharge & bill payments,49709657,28335516739.41771
273,Rajasthan,2021,3,Financial Services,197211,190362135.86135098
274,Rajasthan,2021,3,Others,815568,524328574.25040925
275,Rajasthan,2021,1,Peer-to-peer payments,116733195,408190388154.2274
276,Rajasthan,2021,1,Merchant payments,96394132,61936457709.223076
277,Rajasthan,2021,1,Recharge & bill payments,38919519,20855464604.344055
278,Rajasthan,2021,1,Financial Services,192936,162581466.93308985
279,Rajasthan,2021,1,Others,491137,347689722.9177618
280,Rajasthan,2022,2,Merchant payments,336900860,208238945148.44
281,Rajasthan,2022,2,Peer-to-peer payments,263380560,905641041298.7231
282,Rajasthan,2022,2,Recharge & bill payments,59879660,38325678033.564705
283,Rajasthan,2022,2,Financial Services,170705,175399371.37748802
284,Rajasthan,2022,2,Others,838365,452454748.2866859
285,Rajasthan,2022,4,Merchant payments,457778005,275194969877.524
286,Rajasthan,2022,4,Peer-to-peer payments,334316758,1130380720682.5203
287,Rajasthan,2022,4,Recharge & bill payments,72510470,50609988781.94313
288,Rajasthan,2022,4,Financial Services,244442,270658680.97924906
289,Rajasthan,2022,4,Others,725173,500361375.69058275
290,Rajasthan,2022,3,Merchant payments,398104319,230609701751.02283
291,Rajasthan,2022,3,Peer-to-peer payments,299383118,961209376585.5621
292,Rajasthan,2022,3,Recharge & bill payments,69118763,46000391408.24405
293,Rajasthan,2022,3,Financial Services,215235,220271929.84233993
294,Rajasthan,2022,3,Others,719925,449514643.6055006
295,Rajasthan,2022,1,Merchant payments,267467038,171182113048.26318
296,Rajasthan,2022,1,Peer-to-peer payments,241739380,814525435614.1678
297,Rajasthan,2022,1,Recharge & bill payments,54555117,35542881861.07577
298,Rajasthan,2022,1,Financial Services,244029,243340851.71204624
299,Rajasthan,2022,1,Others,956656,556409604.9103613
300,Rajasthan,2020,2,Peer-to-peer payments,49160792,166176386876.30048
301,Rajasthan,2020,2,Recharge & bill payments,31681776,13014051935.53691
302,Rajasthan,2020,2,Merchant payments,20756594,14354151782.39264
303,Rajasthan,2020,2,Financial Services,92875,76662259.20544848
304,Rajasthan,2020,2,Others,262619,142020149.829893
305,Rajasthan,2020,4,Peer-to-peer payments,88730951,321280847680.95026
306,Rajasthan,2020,4,Merchant payments,67367264,46142484518.08269
307,Rajasthan,2020,4,Recharge & bill payments,33455755,18123908525.97014
308,Rajasthan,2020,4,Financial Services,169294,136058685.85299307
309,Rajasthan,2020,4,Others,560171,351480425.6482615
310,Rajasthan,2020,3,Peer-to-peer payments,73247856,249006720239.33432
311,Rajasthan,2020,3,Merchant payments,45149210,27714680562.343937
312,Rajasthan,2020,3,Recharge & bill payments,30148875,16650017440.553333
313,Rajasthan,2020,3,Financial Services,146383,113675141.51464571
314,Rajasthan,2020,3,Others,396352,193212778.7117864
315,Rajasthan,2020,1,Peer-to-peer payments,48269912,165468574323.88968
316,Rajasthan,2020,1,Merchant payments,27880848,13643061482.35596
317,Rajasthan,2020,1,Recharge & bill payments,25631131,10961167179.81334
318,Rajasthan,2020,1,Financial Services,72604,34466606.25327997
319,Rajasthan,2020,1,Others,404317,200968968.6958118
320,Rajasthan,2019,2,Peer-to-peer payments,25257679,79466464089.34059
321,Rajasthan,2019,2,Recharge & bill payments,14968290,5709279550.854211
322,Rajasthan,2019,2,Merchant payments,9026751,3435472167.201069
323,Rajasthan,2019,2,Financial Services,182685,34134486.762421735
324,Rajasthan,2019,2,Others,573881,461962878.5071422
325,Rajasthan,2019,4,Peer-to-peer payments,43354317,140449134717.291
326,Rajasthan,2019,4,Recharge & bill payments,20604852,9028860435.054995
327,Rajasthan,2019,4,Merchant payments,20544791,9721826538.354998
328,Rajasthan,2019,4,Financial Services,101805,25014672.38444693
329,Rajasthan,2019,4,Others,468477,227573686.58499068
330,Rajasthan,2019,3,Peer-to-peer payments,29885618,97443950786.5758
331,Rajasthan,2019,3,Merchant payments,19646612,6705923742.563935
332,Rajasthan,2019,3,Recharge & bill payments,16970783,7872719571.602099
333,Rajasthan,2019,3,Financial Services,217029,37899900.33366185
334,Rajasthan,2019,3,Others,583575,407796030.8547787
335,Rajasthan,2019,1,Peer-to-peer payments,27621606,55246071722.22856
336,Rajasthan,2019,1,Recharge & bill payments,11650961,3821181816.6204696
337,Rajasthan,2019,1,Merchant payments,3921438,1664209334.5681162
338,Rajasthan,2019,1,Financial Services,359993,36340412.57538466
339,Rajasthan,2019,1,Others,402042,373355289.5614773
340,Rajasthan,2018,2,Recharge & bill payments,5288093,1511007056.105427
341,Rajasthan,2018,2,Peer-to-peer payments,3770555,13341587602.422176
342,Rajasthan,2018,2,Merchant payments,345752,342809667.5935513
343,Rajasthan,2018,2,Financial Services,279471,52145152.93902289
344,Rajasthan,2018,2,Others,289826,311536696.6979239
345,Rajasthan,2018,4,Peer-to-peer payments,10752729,33578327037.682457
346,Rajasthan,2018,4,Recharge & bill payments,7557003,2743591538.8320713
347,Rajasthan,2018,4,Merchant payments,1985927,1172254323.9731452
348,Rajasthan,2018,4,Financial Services,311632,40412563.014562674
349,Rajasthan,2018,4,Others,352432,374501619.8364362
350,Rajasthan,2018,3,Peer-to-peer payments,7120792,21010614922.14291
351,Rajasthan,2018,3,Recharge & bill payments,5894660,2252031409.939968
352,Rajasthan,2018,3,Merchant payments,711240,445504998.0014268
353,Rajasthan,2018,3,Financial Services,230083,30185982.18078412
354,Rajasthan,2018,3,Others,300323,302431358.9473551
355,Rajasthan,2018,1,Recharge & bill payments,4305940,868358581.1737025
356,Rajasthan,2018,1,Peer-to-peer payments,2540658,7547652852.662634
357,Rajasthan,2018,1,Financial Services,202537,37125466.49571308
358,Rajasthan,2018,1,Merchant payments,184127,201212697.26059398
359,Rajasthan,2018,1,Others,358428,271943533.1341365
360,Gujarat,2023,2,Merchant payments,239396654,135256737974.0
361,Gujarat,2023,2,Peer-to-peer payments,132035120,470150906708.0
362,Gujarat,2023,2,Recharge & bill payments,44902296,39506073738.0
363,Gujarat,2023,2,Financial Services,191053,225104195.0
364,Gujarat,2023,2,Others,397430,268385910.0
365,Gujarat,2023,4,Merchant payments,319459808,179560004574.0
366,Gujarat,2023,4,Peer-to-peer payments,166959749,567135968086.0
367,Gujarat,2023,4,Recharge & bill payments,47046378,47786850776.0
368,Gujarat,2023,4,Financial Services,271611,349727923.0
369,Gujarat,2023,4,Others,378032,254647715.0
370,Gujarat,2023,3,Merchant payments,279651861,155597205179.0
371,Gujarat,2023,3,Peer-to-peer payments,151754885,508236930735.0
372,Gujarat,2023,3,Recharge & bill payments,47284770,43342854631.0
373,Gujarat,2023,3,Financial Services,246300,311377540.0
374,Gujarat,2023,3,Others,365774,248668365.0
375,Gujarat,2023,1,Merchant payments,199359623,123421554216.0
376,Gujarat,2023,1,Peer-to-peer payments,120907384,436337923470.0
377,Gujarat,2023,1,Recharge & bill payments,41649002,37570733166.0
378,Gujarat,2023,1,Financial Services,180163,200278806.0
379,Gujarat,2023,1,Others,415154,295699148.0
380,Gujarat,2021,2,Merchant payments,42593432,33542305033.829506
381,Gujarat,2021,2,Peer-to-peer payments,41642387,162483567902.30194
382,Gujarat,2021,2,Recharge & bill payments,27127405,13750783181.944221
383,Gujarat,2021,2,Financial Services,128647,136119996.7022825
384,Gujarat,2021,2,Others,349525,249278437.33914098
385,Gujarat,2021,4,Merchant payments,84846502,68717933161.8696
386,Gujarat,2021,4,Peer-to-peer payments,67301686,254338740726.63605
387,Gujarat,2021,4,Recharge & bill payments,30072479,18739034341.66239
388,Gujarat,2021,4,Financial Services,175393,209214620.7057898
389,Gujarat,2021,4,Others,591265,377657202.7539646
390,Gujarat,2021,3,Merchant payments,62934471,48197579736.51646
391,Gujarat,2021,3,Peer-to-peer payments,56134212,208013326600.62402
392,Gujarat,2021,3,Recharge & bill payments,29580901,15945997372.058683
393,Gujarat,2021,3,Financial Services,125167,163304131.1436523
394,Gujarat,2021,3,Others,473656,304418273.24545926
